Lasioglossum morio	GCA_916610235.2	ERR6939225	5
Mimumesa dahlbomi	GCA_917499265.1	ERR6808011	5
Nomada fabriciana	GCA_907165295.1	ERR6436371	5
Nysson spinosus	GCA_910591585.1	ERR6412373	5
Haliclystus octoradiatus	GCA_916610825.1	ERR6897438,ERR6897437 	4
Phorcus lineatus	GCA_921293015.1	ERR7254639,ERR7254638 	5
Lasiommata megera	GCA_928268935.1	ERR7224284	5
Agriphila tristella	GCA_928269145.1	ERR7123974,ERR7123973 	5
Volucella inflata	GCA_928272305.1	ERR7815861,ERR7756497	5
Agonopterix arenella	GCA_927399405.1	ERR6939288,ERR6909091 	5
Calamotropha paludella	GCA_927399485.1	ERR6909089,ERR6808070 	5
Acleris emargana	GCA_927399475.1	ERR7123967	5
Sarcophaga caerulescens	GCA_927399465.1	ERR7169027	5
Macaria notata	GCA_927399415.1	ERR7254658	5
Mythimna albipuncta	GCA_929112965.1	ERR7221642,ERR7221641	5
Agrypnus murinus	GCA_929113105.1	ERR6897496,ERR6807991	5
Limnephilus rhombicus	GCA_929108145.1	ERR7979914,ERR7979913	5
Andrena dorsata	GCA_929108735.1	ERR7254653	5
Andrena minutula	GCA_929113495.1	ERR7123966,ERR7123965	5
Epistrophe grossulariae	GCA_929447395.1	ERR7057171	5
Watsonalla binaria	GCA_929442735.1	ERR7419407	5
Sarcophaga rosellei	GCA_930367235.1	ERR7015068,ERR7012654	5
Pollenia angustigena	GCA_930367215.1	ERR7123976,ERR7123975	5
Bombus pratorum	GCA_930367275.1	ERR7123979	5
Myathropa florea	GCA_930367185.1	ERR7141801	5
Opisthograptis luteolata	GCA_931315375.1	ERR7224285	5
Plutella xylostella	GCA_932276165.1	ERR7224286	5
Apotomis betuletana	GCA_932273695.1	ERR7815860	5
Protocalliphora azurea	GCA_932274085.1	ERR7254657	5
Leucozona laternaria	GCA_932273885.1	ERR7979912,ERR7254656 	5
Diarsia rubi	GCA_932274075.1	ERR8482056,ERR8482055 	5
Sarcophaga variegata	GCA_932273835.1	ERR7123978,ERR7123977	5
Patella vulgata	GCA_932274485.1	ERR8575362	5
Podabrus alpinus	GCA_932274525.1	ERR7756498	5
Epinotia nisella	GCA_932294315.1	ERR8575374	5
Alitta virens	GCA_932294295.1	ERR8575400	5
Chloroclysta siterata	GCA_932294275.1	ERR8575370	5
Agriopis marginaria	GCA_932305915.1	ERR8575367	5
Pandemis cinnamomeana	GCA_932294345.1	ERR8575385	5
Aporophyla lueneburgensis	GCA_932294355.1	ERR8575369	5
Allophyes oxyacanthae	GCA_932294325.1	ERR8575377	5
Diachrysia chrysitis	GCA_932294365.1	ERR8575372	5
Meta bourneti	GCA_933210815.1	ERR7254654	5
Bombylius major	GCA_932526495.1	ERR8705853	5
Lobophora halterata	GCA_932526365.1	ERR8575379	5
Ecliptopera silaceata	GCA_932527185.1	ERR8575366	5
Philonthus cognatus	GCA_932526585.1	ERR8575391	5
Caradrina clavipalpis	GCA_932526535.1	ERR8575392	5
Phragmatobia fuliginosa	GCA_932526445.1	ERR8575386	5
Nephrotoma flavescens	GCA_932526605.1	ERR8705863	5
Epicampocera succincta	GCA_932526305.1	ERR8705852	5
Nematostella vectensis	GCA_932526225.1	ERR8575398	4
Operophtera brumata	GCA_932527175.1	ERR8575384	5
Rhingia campestris	GCA_932526625.1	ERR8363511	5
